Ниша;Контур;Причина таксономии;Риск вариантов;Риск таксономии;Вердикт воронки;Выручка 30 дней, ₽;Продажи 30 дней, шт;Средний чек, ₽;Активные продавцы;Выручка на активного продавца, ₽;Доля штук Q2/Q1, x;Доля выручки Q2/Q1, x;Положительных шагов, штуки;Положительных шагов, выручка;Entry lift Sep-Oct / Jul-Aug 2025, x;Осенний индекс 2025, x;FBO доля выручки, %;Комиссия FBO MPStats, %;Комиссия FBS MPStats, %;Выкуп после возвратов, %;Оборот, дней;Замороженный остаток, %;Карточек с продажами, %;Продавцов с продажами, %;Demand gate;Autumn gate;Operations gate;Аномалии
Красота / Загустители для волос;COSMETIC_CORE;finished leave-on hair cosmetic preparation;medium;medium;NO_CURRENT_SIGNAL;10138126.0;9265.0;1094.24;326;31098.55;0.8003;0.7318;2;3;1.311;0.8038;46.48;32.5;36.0;92.72;1522.0;98.57;5.55;16.07;0;1;0;
Красота / Корректоры;COSMETIC_CORE;cosmetic formula subject;high;medium;NO_CURRENT_SIGNAL;255860198.0;470719.0;543.55;1976;129483.91;0.8002;0.7348;2;1;1.1104;0.8047;62.24;32.5;36.0;90.08;266.0;89.72;8.41;21.01;0;1;0;
Красота / Маски косметические;COSMETIC_CORE;cosmetic formula subject;medium;high;NO_CURRENT_SIGNAL;1136938978.0;1238569.0;917.95;5981;190091.79;0.7993;0.8065;2;1;1.1257;0.8158;51.98;32.0;35.5;91.97;315.0;92.46;8.69;23.47;0;1;0;
Красота / Глина косметическая;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;19154137.0;38487.0;497.68;395;48491.49;0.7952;0.8255;1;0;1.1504;0.8061;47.28;32.5;36.0;90.96;124.0;85.57;19.53;20.11;0;1;0;
Красота / Основы под макияж;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;104733607.0;181421.0;577.3;1475;71005.84;0.7944;0.737;2;1;1.3201;0.734;65.88;32.5;36.0;88.79;426.0;94.85;6.32;17.2;0;1;0;
Красота / Маски гидрогелевые;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;29431618.0;40307.0;730.19;927;31749.32;0.7938;0.6617;2;0;1.2312;0.6766;57.97;32.5;36.0;92.03;371.0;95.31;6.93;23.75;0;1;0;
Красота / Бальзамы после бритья;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;47858807.0;50061.0;956.01;616;77692.87;0.7922;0.9786;4;4;1.2215;0.7996;21.5;32.5;36.0;95.47;442.0;94.39;20.88;20.6;0;1;0;
Красота / Лосьоны;COSMETIC_CORE;cosmetic formula subject;medium;high;NO_CURRENT_SIGNAL;282925654.0;252850.0;1118.95;2887;97999.88;0.7899;0.8382;2;0;0.775;0.9112;20.89;32.5;36.0;92.36;364.0;95.39;11.59;22.39;0;0;0;
Красота / Помады;COSMETIC_CORE;cosmetic formula subject;high;medium;NO_CURRENT_SIGNAL;476277273.0;860615.0;553.42;2360;201812.4;0.7872;0.7336;1;0;1.3992;0.8464;35.28;32.5;36.0;90.83;470.0;93.7;12.08;20.65;0;1;0;
Красота / Отбеливающие средства для зубов;COSMETIC_ORAL_P2;"oral whitening cosmetic; active level and SGR route must be checked";low;high;NO_CURRENT_SIGNAL;46113704.0;71020.0;649.31;518;89022.59;0.7863;0.8347;4;3;0.9636;0.7846;62.36;31.0;34.5;90.8;322.0;93.57;7.33;13.61;0;1;0;
