"Название предмета";"Сезонность ниши";"Дата обнаружения";"Комиссия FBO";"Комиссия FBS";"Товары, шт.";"Количество новинок";"Товары с остатками, шт.";"% товаров с остатками";"Товары с движением, шт.";"% товаров с движением";"Товары с продажами, шт.";"% товаров с продажами";"% товаров с продажами от товаров с движением";"Бренды";"Бренды с продажами";"% брендов с продажами";"Продавцы";"Продавцы с продажами";"% продавцов с продажами";"Продажи, шт.";"Выручка, ₽";"Упущенная выручка, ₽";"Упущенная выручка %";"Потенциал, ₽";"Средний % выкупа";"Средний % выкупа с учётом возвратов";"Сумма выкупа, ₽";"Сумма выкупа с учётом возвратов, ₽";"Суммарные остатки, шт.";"Замороженный остаток, шт.";"Замороженный остаток в цене, ₽";"Замороженный остаток, %";"Оборачиваемость, дн.";"Минимальная цена, ₽";"Максимальная цена, ₽";"Средняя цена, ₽";"Медианная цена, ₽";"Минимальная цена с продажами, ₽";"Максимальная цена с продажами, ₽";"Средняя цена с продажами, ₽";"Медианная цена с продажами, ₽";"Средний рейтинг";"Средний рейтинг с продажами";"Средний дробный рейтинг";"Средний дробный рейтинг с продажами";"Количество кликов на карточку";"% добавления в корзину";"% оформления заказов"
"Электрика / Прожекторы";"1";"2020-01-25";"28,5";"32";"48477";"4277";"1968";"4,06";"2352";"4,85";"1206";"2,49";"51,28";"1406";"205";"14,58";"3607";"293";"8,12";"54249";"26288861";"3619488";"12,1";"29908349";"92,27";"91,88";"24256732";"24154205";"154086";"90946";"60972606";"59,02";"85";"0";"900000";"3468,54";"1776";"118";"31437";"1316,81";"817,5";"4,65";"4,87";"4,58";"4,76";"21";"6,15";"14,96"
"Сантехника / Бордюры для ванны";"1";"2020-01-25";"27,5";"31";"47278";"15109";"1831";"3,87";"2603";"5,51";"1724";"3,65";"66,23";"1740";"367";"21,09";"2653";"452";"17,04";"97463";"26238805";"2613130";"9,06";"28851935";"89,39";"88,59";"23454868";"23244957";"149527";"71892";"22618409";"48,08";"46";"0";"900000";"764,14";"457";"50";"5454";"459,59";"282";"4,73";"4,89";"4,61";"4,71";"78";"7,86";"18,54"
"Спортивные аксессуары / Пояса для похудения";"1";"2020-01-25";"29,5";"33";"16342";"7672";"675";"4,13";"882";"5,4";"642";"3,93";"72,79";"1345";"232";"17,25";"2534";"296";"11,68";"34491";"26236290";"1921531";"6,82";"28157821";"67,59";"64,04";"17733108";"16801720";"42864";"18607";"15381042";"43,41";"37";"0";"133650";"1217,66";"854";"70";"7962";"870,17";"687";"4,42";"4,69";"4,32";"4,55";"32";"8,19";"22,19"
"Красота / Отдушки косметические";"2";"2020-11-08";"32,5";"36";"35304";"1274";"4869";"13,79";"6836";"19,36";"5195";"14,72";"75,99";"431";"149";"34,57";"693";"163";"23,52";"52547";"26120070";"8058109";"23,58";"34178179";"85,82";"85,53";"22416244";"22340496";"66446";"32309";"17896016";"48,62";"38";"0";"133387";"873,32";"513";"76";"31425";"553,99";"436";"4,8";"4,9";"4,72";"4,77";"17";"14,08";"18,61"
"Красота / Фиксаторы макияжа";"1";"2020-01-25";"32,5";"36";"19594";"8316";"489";"2,5";"774";"3,95";"556";"2,84";"71,83";"917";"162";"17,67";"2534";"328";"12,94";"56823";"26112668";"8132289";"23,75";"34244957";"89,14";"89,11";"23276832";"23268998";"74033";"26583";"18625205";"35,91";"39";"0";"264106";"868,58";"537";"151";"61920";"966,62";"483";"4,57";"4,75";"4,47";"4,59";"195";"17,35";"15,08"
"Аксессуары / Кредитницы";"1";"2020-01-25";"34,5";"38";"62558";"13744";"5130";"8,2";"6542";"10,46";"3930";"6,28";"60,07";"1549";"456";"29,44";"2972";"543";"18,27";"48477";"26065196";"6404954";"19,73";"32470150";"79,16";"78,35";"20633209";"20422081";"85606";"52737";"373438750";"61,6";"53";"0";"6535999";"1907,67";"641";"62";"38984";"813,15";"471";"4,85";"4,91";"4,78";"4,82";"42";"4,79";"15,49"
"Красота / Гели для бритья";"2";"2020-01-25";"32,5";"36";"16977";"1163";"417";"2,46";"772";"4,55";"578";"3,4";"74,87";"859";"158";"18,39";"2310";"273";"11,82";"65016";"26064293";"4041886";"13,43";"30106179";"95,81";"95,76";"24972199";"24959167";"81490";"34467";"16696946";"42,3";"38";"0";"760813";"1376,75";"787";"111";"6780";"740,16";"549,5";"4,82";"4,93";"4,74";"4,82";"68";"10,83";"21,7"
"Садовые инструменты и полив / Насосы поверхностные";"2";"2020-01-25";"19,5";"23";"12558";"869";"498";"3,97";"715";"5,69";"447";"3,56";"62,52";"379";"95";"25,07";"1260";"171";"13,57";"4721";"25989104";"8679607";"25,04";"34668711";"81,78";"81,33";"21253889";"21136938";"8726";"5387";"28172122";"61,74";"55";"0";"6850000";"23055,58";"6796,5";"246";"101455";"6658,42";"5042";"4,59";"4,77";"4,53";"4,65";"14";"3,79";"5,84"
"Отделочные материалы / Краски водно-дисперсионные";"1";"2020-01-31";"28,5";"32";"85049";"4012";"1419";"1,67";"1688";"1,98";"1273";"1,5";"75,41";"649";"93";"14,33";"986";"95";"9,63";"23938";"25967128";"3361919";"11,46";"29329047";"82,64";"82,02";"21459235";"21298238";"76307";"55407";"63886123";"72,61";"96";"0";"1000000";"5592,34";"2719,5";"56";"12096";"1427,01";"949";"4,78";"4,92";"4,71";"4,79";"15";"4,72";"10,22"
"Бытовая техника / Помпы для воды";"1";"2020-01-25";"25,5";"29";"53443";"8802";"784";"1,47";"1131";"2,12";"659";"1,23";"58,27";"2967";"243";"8,19";"5362";"375";"6,99";"55746";"25833654";"4607444";"15,14";"30441098";"93,92";"93,51";"24262968";"24157050";"49724";"15114";"8425270";"30,4";"27";"0";"1175157";"2050,17";"1254";"77";"17449";"725,58";"517";"4,3";"4,6";"4,23";"4,48";"73";"9,63";"23,74"
